DATE,DHHNGSP
2019-01-02,3.25
2019-01-03,2.72
2019-01-04,2.8
2019-01-07,2.74
2019-01-08,2.89
2019-01-09,2.92
2019-01-10,2.95
2019-01-11,2.95
2019-01-14,3.36
2019-01-15,3.54
2019-01-16,3.58
2019-01-17,3.58
2019-01-18,3.43
2019-01-21,.
2019-01-22,3.43
2019-01-23,3.13
2019-01-24,3.13
2019-01-25,3.07
2019-01-28,3.05
2019-01-29,2.94
2019-01-30,3.0
2019-01-31,2.82
2019-02-01,2.7
2019-02-04,2.57
2019-02-05,2.54
2019-02-06,2.58
2019-02-07,2.62
2019-02-08,2.66
2019-02-11,2.76
2019-02-12,2.71
2019-02-13,2.61
2019-02-14,2.61
2019-02-15,2.59
2019-02-18,.
2019-02-19,2.69
2019-02-20,2.69
2019-02-21,2.73
2019-02-22,2.74
2019-02-25,2.84
2019-02-26,2.74
2019-02-27,2.89
2019-02-28,2.89
2019-03-01,3.19
2019-03-04,4.25
2019-03-05,3.18
2019-03-06,3.18
2019-03-07,2.9
2019-03-08,2.9
2019-03-11,2.86
2019-03-12,2.83
2019-03-13,2.87
2019-03-14,2.95
2019-03-15,2.95
2019-03-18,2.9
2019-03-19,2.92
2019-03-20,2.86
2019-03-21,2.86
2019-03-22,2.75
2019-03-25,2.72
2019-03-26,2.74
2019-03-27,2.69
2019-03-28,2.69
2019-03-29,2.73
2019-04-01,2.73
2019-04-02,2.76
2019-04-03,2.74
2019-04-04,2.66
2019-04-05,2.62
2019-04-08,2.72
2019-04-09,2.71
2019-04-10,2.72
2019-04-11,2.72
2019-04-12,2.75
2019-04-15,2.75
2019-04-16,2.66
2019-04-17,2.55
2019-04-18,2.54
2019-04-19,.
2019-04-22,2.61
2019-04-23,2.53
2019-04-24,2.53
2019-04-25,2.54
2019-04-26,2.58
2019-04-29,2.58
2019-04-30,2.59
2019-05-01,2.59
2019-05-02,2.63
2019-05-03,2.59
2019-05-06,2.54
2019-05-07,2.54
2019-05-08,2.64
2019-05-09,2.62
2019-05-10,2.64
2019-05-13,2.71
2019-05-14,2.7
2019-05-15,2.69
2019-05-16,2.62
2019-05-17,2.61
2019-05-20,2.7
2019-05-21,2.73
2019-05-22,2.73
2019-05-23,2.56
2019-05-24,2.6
2019-05-27,.
2019-05-28,2.65
2019-05-29,2.69
2019-05-30,2.69
2019-05-31,2.59
2019-06-03,2.5
2019-06-04,2.45
2019-06-05,2.45
2019-06-06,2.4
2019-06-07,2.43
2019-06-10,2.42
2019-06-11,2.41
2019-06-12,2.43
2019-06-13,2.43
2019-06-14,2.37
2019-06-17,2.46
2019-06-18,2.44
2019-06-19,2.43
2019-06-20,2.38
2019-06-21,2.27
2019-06-24,2.31
2019-06-25,2.31
2019-06-26,2.34
2019-06-27,2.32
2019-06-28,2.42
2019-07-01,2.33
2019-07-02,2.3
2019-07-03,2.29
2019-07-04,.
2019-07-05,.
2019-07-08,2.39
2019-07-09,2.41
2019-07-10,2.49
2019-07-11,2.54
2019-07-12,2.54
2019-07-15,2.53
2019-07-16,2.53
2019-07-17,2.44
2019-07-18,2.38
2019-07-19,2.3
2019-07-22,2.33
2019-07-23,2.34
2019-07-24,2.33
2019-07-25,2.26
2019-07-26,2.23
2019-07-29,2.23
2019-07-30,2.22
2019-07-31,2.28
2019-08-01,2.36
2019-08-02,2.12
2019-08-05,2.02
2019-08-06,2.15
2019-08-07,2.18
2019-08-08,2.13
2019-08-09,2.09
2019-08-12,2.21
2019-08-13,2.24
2019-08-14,2.22
2019-08-15,2.19
2019-08-16,2.2
2019-08-19,2.26
2019-08-20,2.35
2019-08-21,2.31
2019-08-22,2.28
2019-08-23,2.15
2019-08-26,2.23
2019-08-27,2.24
2019-08-28,2.24
2019-08-29,2.36
2019-08-30,2.33
2019-09-02,.
2019-09-03,2.39
2019-09-04,2.48
2019-09-05,2.49
2019-09-06,2.49
2019-09-09,2.65
2019-09-10,2.67
2019-09-11,2.63
2019-09-12,2.62
2019-09-13,2.61
2019-09-16,2.75
2019-09-17,2.7
2019-09-18,2.72
2019-09-19,2.65
2019-09-20,2.34
2019-09-23,2.55
2019-09-24,2.55
2019-09-25,2.54
2019-09-26,2.57
2019-09-27,2.41
2019-09-30,2.37
2019-10-01,2.36
2019-10-02,2.36
2019-10-03,2.31
2019-10-04,2.25
2019-10-07,2.36
2019-10-08,2.29
2019-10-09,2.26
2019-10-10,2.26
2019-10-11,2.13
2019-10-14,2.13
2019-10-15,2.29
2019-10-16,2.44
2019-10-17,2.29
2019-10-18,2.08
2019-10-21,2.13
2019-10-22,2.21
2019-10-23,2.34
2019-10-24,2.33
2019-10-25,2.26
2019-10-28,2.49
2019-10-29,2.61
2019-10-30,2.71
2019-10-31,2.73
2019-11-01,2.54
2019-11-04,2.77
2019-11-05,2.77
2019-11-06,2.82
2019-11-07,2.84
2019-11-08,2.87
2019-11-11,.
2019-11-12,2.72
2019-11-13,2.66
2019-11-14,2.68
2019-11-15,2.7
2019-11-18,2.64
2019-11-19,2.53
2019-11-20,2.56
2019-11-21,2.53
2019-11-22,2.62
2019-11-25,2.51
2019-11-26,2.51
2019-11-27,2.46
2019-11-28,.
2019-11-29,2.46
2019-12-02,2.29
2019-12-03,2.42
2019-12-04,2.43
2019-12-05,2.42
2019-12-06,2.31
2019-12-09,2.17
2019-12-10,2.18
2019-12-11,2.28
2019-12-12,2.28
2019-12-13,2.28
2019-12-16,2.34
2019-12-17,2.3
2019-12-18,2.26
2019-12-19,2.21
2019-12-20,2.27
2019-12-23,2.17
2019-12-24,2.11
2019-12-25,.
2019-12-26,2.09
2019-12-27,1.75
2019-12-30,2.06
2019-12-31,2.09
2020-01-01,.
2020-01-02,2.05
2020-01-03,2.06
2020-01-06,2.1
2020-01-07,2.17
2020-01-08,2.09
2020-01-09,2.05
2020-01-10,2.05
2020-01-13,2.03
2020-01-14,2.15
2020-01-15,2.01
2020-01-16,2.06
2020-01-17,2.07
2020-01-20,.
2020-01-21,1.98
2020-01-22,1.89
2020-01-23,1.95
2020-01-24,1.91
2020-01-27,2.03
2020-01-28,1.96
2020-01-29,1.93
2020-01-30,1.94
2020-01-31,1.91
2020-02-03,1.9
2020-02-04,1.89
2020-02-05,1.89
2020-02-06,1.86
2020-02-07,1.93
2020-02-10,1.85
2020-02-11,1.85
2020-02-12,1.91
2020-02-13,1.95
2020-02-14,1.93
2020-02-17,.
2020-02-18,2.04
2020-02-19,2.01
2020-02-20,1.98
2020-02-21,1.96
2020-02-24,1.94
2020-02-25,1.93
2020-02-26,1.96
2020-02-27,1.78
2020-02-28,1.79
2020-03-01,1.79
2020-03-02,1.75
2020-03-03,1.78
2020-03-04,1.83
2020-03-05,1.89
2020-03-06,1.76
2020-03-08,1.76
2020-03-09,1.74
2020-03-10,1.91
2020-03-11,1.96
2020-03-12,1.82
2020-03-13,1.94
2020-03-15,1.94
2020-03-16,1.89
2020-03-17,1.89
2020-03-18,1.73
2020-03-19,1.68
2020-03-20,1.76
2020-03-22,1.76
2020-03-23,1.7
2020-03-24,1.73
2020-03-25,1.8
2020-03-26,1.73
2020-03-27,1.7
2020-03-29,1.7
2020-03-30,1.65
2020-03-31,1.71
2020-04-01,1.69
2020-04-02,1.55
2020-04-03,1.5
2020-04-06,1.64
2020-04-07,1.83
2020-04-08,1.86
2020-04-09,1.74
2020-04-10,.
2020-04-13,1.86
2020-04-14,1.76
2020-04-15,1.68
2020-04-16,1.59
2020-04-17,1.71
2020-04-20,1.78
2020-04-21,1.92
2020-04-22,1.9
2020-04-23,1.86
2020-04-24,1.81
2020-04-27,1.68
2020-04-28,1.8
2020-04-29,1.73
2020-04-30,1.63
2020-05-01,1.69
2020-05-04,1.78
2020-05-05,1.93
2020-05-06,1.9
2020-05-07,1.84
2020-05-08,1.74
2020-05-11,1.7
2020-05-12,1.61
2020-05-13,1.56
2020-05-14,1.6
2020-05-15,1.66
2020-05-18,1.77
2020-05-19,1.85
2020-05-20,1.83
2020-05-21,1.75
2020-05-22,1.7
2020-05-25,.
2020-05-26,1.79
2020-05-27,1.78
2020-05-28,1.79
2020-05-29,1.7
2020-06-01,1.59
2020-06-02,1.58
